"Cluster","Organization","ProjectCode","MONTH","Objective","Priority","Activity","Indicator","Accumulative","Country","Admin1","AnnualTarget","Achieved"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of community leaders familiar with risk management and implemented preparedness measures","NO","Gambia","Central River","5","4.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of community leaders familiar with risk management and implemented preparedness measures","NO","Gambia","Lower River","6","4.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of community leaders familiar with risk management and implemented preparedness measures","NO","Gambia","North Bank","7","5.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of community leaders familiar with risk management and implemented preparedness measures","NO","Gambia","Upper River","12","7.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of state officials familiar with risk management and implemented preparedness measures","NO","Gambia","Central River","10","4.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of state officials familiar with risk management and implemented preparedness measures","NO","Gambia","Lower River","12","6.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of state officials familiar with risk management and implemented preparedness measures","NO","Gambia","North Bank","14","7.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Conduct a joint risk analysis of natural disaster","Number of state officials familiar with risk management and implemented preparedness measures","NO","Gambia","Upper River","18","9.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","mapping and analysis of natural disasters","Number of risk maps produced on natural disasters","NO","Gambia","Central River","3","1.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","mapping and analysis of natural disasters","Number of risk maps produced on natural disasters","NO","Gambia","Lower River","4","1.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","mapping and analysis of natural disasters","Number of risk maps produced on natural disasters","NO","Gambia","North Bank","6","2.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","mapping and analysis of natural disasters","Number of risk maps produced on natural disasters","NO","Gambia","Upper River","2","1.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Support to local institutions for the development of risk maps / vulnerabilities and early warning systems on floods","Number of EWSs mapping","NO","Gambia","Central River","1","1.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Support to local institutions for the development of risk maps / vulnerabilities and early warning systems on floods","Number of EWSs mapping","NO","Gambia","Lower River","1","1.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Support to local institutions for the development of risk maps / vulnerabilities and early warning systems on floods","Number of EWSs mapping","NO","Gambia","North Bank","1","1.00"
"Early Recovery","United Nations Development Programme","ORS/GMB-14/ER/500013","June","OBJECTIVE 1","Priority 1: Natural disasters","Support to local institutions for the development of risk maps / vulnerabilities and early warning systems on floods","Number of EWSs mapping","NO","Gambia","Upper River","1","1.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 1: Natural disasters","Actively involve community in the risks and vulnerabilities analysis","Community prioritizes education activities","NO","Gambia","Banjul","150","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 1: Natural disasters","Actively involve community in the risks and vulnerabilities analysis","Number of consultations held that include teachers and students","NO","Gambia","Banjul","7","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 1: Natural disasters","Identify and implement education interventions that mitigate the risk and impact of disasters on the education system","Number of identified interventions","NO","Gambia","Banjul","3","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 1: Natural disasters","Participate to analysis of the risk and vulnerabilities of education at school, regional and national level","number of learning environments at risk","NO","Gambia","Banjul","20","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 2: Conflict","Analyse the coordination mechanisms in the targeted areas","3W regularly updated","NO","Gambia","Banjul","3","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 2: Conflict","Analyse the coordination mechanisms in the targeted areas","Effective inter and intra sector coordination mechanisms are in place","NO","Gambia","Banjul","1","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 2: Conflict","Analyse the coordination mechanisms in the targeted areas","EiE focal point within MoE","NO","Gambia","Banjul","1","1.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 2: Conflict","Lead and update bottleneck analysis of the education sector","Documentation of the bottleneck analysis disaggregated by gender","NO","Gambia","Banjul","1","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 2: Conflict","Support the MOE’s information management systems","% of education departments in targeted areas with a school database","NO","Gambia","Banjul","60","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 1","Priority 3: Epidemics","Assess the WASH services and infrastructure  in learning spaces located in cholera prone areas","Number of learning space located in cholera prone areas assessed.","NO","Gambia","Banjul","7","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 2","Priority 1: Natural disasters","Build capacities of MoE at national and local level in emergency preparedness and response","Number of male/female MoE officials trained at national level","NO","Gambia","Banjul","28","5.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 2","Priority 1: Natural disasters","Build capacities of MoE at national and local level in emergency preparedness and response","Number of MoE officials trained at district/local level","YES","Gambia","Banjul","70","30.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of parents in target areas participating in parenting education activities","NO","Gambia","Banjul","150","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of PTA members in target areas trained on school management and administration","NO","Gambia","Banjul","180","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of school PTAs with agreed emergency plan and safety survey","NO","Gambia","Banjul","20","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of traditional leaders in target areas participating in group discussions on the role of girls education, DRR, psychological support","NO","Gambia","Banjul","90","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","Number of local organizations involved","NO","Gambia","Banjul","7","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Distribute Early Childhood Development kits","Number of kits distributed to the schools","NO","Gambia","Banjul","150","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Distribute learning kits to affected area","Number of children benefiting from the learning kit distribution (boys/girls)","NO","Gambia","Banjul","1300","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of boys / girls and youth (5-18 yrs old) enrolled in formal education in target areas","NO","Gambia","Banjul","1300","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of children aged 3-5 years in target areas benefitting from ECD services","NO","Gambia","Banjul","1000","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","number of children/youth attending accelerated learning programmes","NO","Gambia","Banjul","90","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of identified children in target areas with special needs integrated in pre-school and primary school classes","NO","Gambia","Banjul","200","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of school-age children in target areas completing the end of the primary cycle","NO","Gambia","Banjul","3400","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Undertake rapid joint need assessments","Number of education joint assessments that include data desegregated by gender/age/disability","NO","Gambia","Banjul","3","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Undertake rapid joint need assessments","Number of inter-cluster or from other clusters assessments that include education questions","NO","Gambia","Banjul","2","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","June","OBJECTIVE 3","Priority 1: Natural disasters","Undertake rapid joint need assessments","Number of schools having conducted risk analyses","NO","Gambia","Banjul","12","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 1: Natural disasters","Actively involve community in the risks and vulnerabilities analysis","Community prioritizes education activities","NO","Gambia","Banjul","150","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 1: Natural disasters","Actively involve community in the risks and vulnerabilities analysis","Number of consultations held that include teachers and students","NO","Gambia","Banjul","7","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 1: Natural disasters","Identify and implement education interventions that mitigate the risk and impact of disasters on the education system","Number of identified interventions","NO","Gambia","Banjul","3","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 1: Natural disasters","Participate to analysis of the risk and vulnerabilities of education at school, regional and national level","number of learning environments at risk","NO","Gambia","Banjul","20","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 2: Conflict","Analyse the coordination mechanisms in the targeted areas","3W regularly updated","NO","Gambia","Banjul","3","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 2: Conflict","Analyse the coordination mechanisms in the targeted areas","Effective inter and intra sector coordination mechanisms are in place","NO","Gambia","Banjul","1","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 2: Conflict","Analyse the coordination mechanisms in the targeted areas","EiE focal point within MoE","NO","Gambia","Banjul","1","1.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 2: Conflict","Lead and update bottleneck analysis of the education sector","Documentation of the bottleneck analysis disaggregated by gender","NO","Gambia","Banjul","1","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 2: Conflict","Support the MOE’s information management systems","% of education departments in targeted areas with a school database","NO","Gambia","Banjul","60","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 1","Priority 3: Epidemics","Assess the WASH services and infrastructure  in learning spaces located in cholera prone areas","Number of learning space located in cholera prone areas assessed.","NO","Gambia","Banjul","7","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 2","Priority 1: Natural disasters","Build capacities of MoE at national and local level in emergency preparedness and response","Number of male/female MoE officials trained at national level","NO","Gambia","Banjul","28","5.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 2","Priority 1: Natural disasters","Build capacities of MoE at national and local level in emergency preparedness and response","Number of MoE officials trained at district/local level","YES","Gambia","Banjul","70","30.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of parents in target areas participating in parenting education activities","NO","Gambia","Banjul","150","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of PTA members in target areas trained on school management and administration","NO","Gambia","Banjul","180","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of school PTAs with agreed emergency plan and safety survey","NO","Gambia","Banjul","20","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of traditional leaders in target areas participating in group discussions on the role of girls education, DRR, psychological support","NO","Gambia","Banjul","90","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 2","Priority 1: Natural disasters","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","Number of local organizations involved","NO","Gambia","Banjul","7","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Distribute Early Childhood Development kits","Number of kits distributed to the schools","NO","Gambia","Banjul","150","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Distribute learning kits to affected area","Number of children benefiting from the learning kit distribution (boys/girls)","NO","Gambia","Banjul","1300","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of boys / girls and youth (5-18 yrs old) enrolled in formal education in target areas","NO","Gambia","Banjul","1300","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of children aged 3-5 years in target areas benefitting from ECD services","NO","Gambia","Banjul","1000","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","number of children/youth attending accelerated learning programmes","NO","Gambia","Banjul","90","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of identified children in target areas with special needs integrated in pre-school and primary school classes","NO","Gambia","Banjul","200","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Provide inclusive and quality education opportunities","Number of school-age children in target areas completing the end of the primary cycle","NO","Gambia","Banjul","3400","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Undertake rapid joint need assessments","Number of education joint assessments that include data desegregated by gender/age/disability","NO","Gambia","Banjul","3","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Undertake rapid joint need assessments","Number of inter-cluster or from other clusters assessments that include education questions","NO","Gambia","Banjul","2","0.00"
"Education","United Nations Children's Fund","GMB-14/E/65938","July","OBJECTIVE 3","Priority 1: Natural disasters","Undertake rapid joint need assessments","Number of schools having conducted risk analyses","NO","Gambia","Banjul","12","0.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Distribute learning kits in affected areas","Number of children benefiting from the learning kit distribution (children/girls)","NO","Mali","Gao",NA,"1225.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Distribute learning kits in affected areas","Number of children benefiting from the learning kit distribution (children/girls)","NO","Mali","Tombouctou",NA,"280.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Distribute school supplies","Number of classrooms equipped with sufficient supplies and adapted","NO","Mali","Gao",NA,"35.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Distribute school supplies","Number of classrooms equipped with sufficient supplies and adapted","NO","Mali","Tombouctou",NA,"8.00"
